Aeg;Mis koolis käid?;Mis on sinu sugu? ;Mitmendas klassis õpid?;Kui pikk on sinu koolitee?;Kui tihti sõidad autoga kooli?;Kui tihti sõidad ühistranspordiga kooli?;Kui tihti lähed jalgsi kooli?;Kui tihti sõidad jalgrattaga kooli?;Kui tihti lähed motoriseeritud kaherattalisega kooli?;Kui tihti sõidad ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuled autoga koolist?;Kui tihti viiakse autoga kuni ühistranspordi peatuseni?;Kui tihti tuled ühistranspordiga koolist?;Kui tihti jalgsi koolist?;Kui tihti tuled jalgrattaga koolist?;Kui tihti tuled motoriseeritud kaherattalisega koolist?;Kui tihti sõidad ise koolist?;Miks just see vahend koolist tulemiseks?;Kui turvaliseks pead kooliteed kui sind viiakse autoga?;Milliseid ohte oskad välja tuua?;Kui palju aega kulub sul tavaliselt autoga kooli / koolist koju minemiseks?;Mis põhjustel sind autoga kooli viiakse?;Kui oluliseks pead koolitee valikul mõju oma tervisele?;Kui oluliseks pead koolitee valikul mõju keskkonnale?;Mis see sinu jaoks muudaks kui hakkaksid rohkem iseseisvalt koolis käima?;Kui palju aega kulub sul tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad oma liikluskäitumist?;Kui palju keskmiselt liigud (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad oma kooliteed kui lähed kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Milliseid sinu hinnangul ohtlikke liiklussituatsioone oled kooli ümbruses liigeldes tähele pannud?;Kirjelda lastevanemate liikluskäitumist kooli ümbruses?;Milline on sinu enda liikluskäitumine kooli ümbruses?;Kas sinu hinnangul saaks kool midagi kooli ümbruse ohutumaks muutmiseks teha?;Milliseid muid lahendusi pakud välja selleks et kooli ümbrust ohutumaks muuta?
22.11.2019 23:35;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Kuni 1 km;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;ma olen paks;Mitte kunagi;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;ma olen paks;Ohutu;surm ;alla 5 minuti;kui ma teiseks tunniks lähen ;Ei pea üldse oluliseks;Ei pea üldse oluliseks;Käingi iseseisvalt;alla 5 minuti;Käingi iseseisvalt;väga hea;rohkem kui 60 minutit;väga ohtlik;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Lubatud sõidukiirust ületavad juhid;ma ei julge öelda;ma ei ole pervert ;õudne;FBI;FBI
22.11.2019 23:39;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;1-5 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Eelistan turvalist kooliteed/koduteed;Tihti;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;See on turvalisem;Täiesti ohutu;Mitte ühtegi;11-20 minutit;Halva ilma korral+Siis kui ise palun+et mind viidaks autoga+Kui olen hiljaks jäämas+Kui olen on hommikul väga väsinud+Sest nii on ohutum;Pean oluliseks;Pean oluliseks;Peaksin varem üles tõusma;11-20 minutit;Kui minu autotee oleks fooristatud;väga hea;rohkem kui 60 minutit;Ohtlik;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Teed ei ole valgustatud ja valgusfoore ei ole;Rikuvad reegleid;Kui autoga tulen palun oma vanemal värava juures peatuda ja ise edasi kõndida;Politsei auto poolse aia taha kutsuda;Lapsed võiksid rohkem jalgsi käia ja bussiga sõita 
23.11.2019 10:12;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;ei oska vastata;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest see on minu jaoks kõige sobivam;Mitte kunagi;Mitte kunagi;Tihti;Pooltel kordadel nädalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna peale kooli olen liiga väsinud ning lähen transpordiga;Nii ja naa;Avarii;alla 5 minuti;Mind ei viida autoga kooli ;Nii ja naa;Pean oluliseks;Käingi iseseisvalt;5-10 minutit;Tingimustel et auto eristsb loodusele kahjulikke gaase;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Suurem oht langeda kuriteo ohvriks+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud;;;;;
23.11.2019 13:53;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Üle 10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest mul vanematele jääb mu kool tee peale, kui nad hommikul kooli lähevad.;Pooltel kordadel nädalas;Mitte kunagi;Pooltel kordadel nädalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Muid võimalusi pole.;Täiesti ohutu;;11-20 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Ei pea üldse oluliseks;Nii ja naa;Ma peaksin varem ärkama ja see oleks tülikas ning mõtetu;31-45 minutit;Kui bussipeatuseni oleks lügem maa (kodust);väga hea;rohkem kui 60 minutit;Täiesti ohutu;;;;;;
23.11.2019 14:57;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Mitte kunagi;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Sest meil ei ole autot. ;Mitte kunagi;Mitte kunagi;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;;Nii ja naa;;11-20 minutit;Mind ei viiakse autoga kooli+sest meil pole autot. ;Suhteliselt ebaoluline;Pean oluliseks;Käingi iseseisvalt;11-20 minutit;Ma käingi ise koolis. ;väga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Minu arvates ei kooliteel mingeid ohte;Pole midagi märganud. ;Ma ei tavaliselt ei pane tähele. ;Ma arvan, et käitun hästi. ;Ma arvan, et võiks panna mõned märgid selleks, et mõned vanemad ei sõidaks kooli ette. ;Ei tea
23.11.2019 20:45;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Kuni 1 km;Harva;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;Bussiga on tore minna.;Harva;Mitte kunagi;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;;Ohutu;;alla 5 minuti;Halva ilma korral+Siis kui ise palun+et mind viidaks autoga+Kui olen hiljaks jäämas;Pean väga oluliseks;Pean väga oluliseks;Liigun rohkem.;5-10 minutit;Hea ilma korral.;Hea;46-60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Palju autosid.;Hommikul kõik kiirustavad.;;Vähem autosid kooli juures.;
23.11.2019 21:24;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest bussi ei lähe sobival ajal.;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Täiesti ohutu;;11-20 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem)+Kui olen hiljaks jäämas;Nii ja naa;Nii ja naa;Midagi ei muudaks;11-20 minutit;Kui ilm on parem.;Hea;46-60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Lubatud sõidukiirust ületavad juhid;;;;;
24.11.2019 02:26;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;lihtne+mugav;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Täiesti ohutu;;alla 5 minuti;Siis kui ise palun+et mind viidaks autoga;Nii ja naa;Suhteliselt ebaoluline;Saaksin rohkem iseseisvaks;5-10 minutit;Siis, kui saan;Hea;rohkem kui 60 minutit;Täiesti ohutu;;Bussi peatuse juures on ebaadekvaatseid autojuhte;Korralik;Nagu ikka, enda arust korralik;Kõik on juba nii hea, kui olla saab;
24.11.2019 08:38;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;1-5 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;sest ma elan lähedal;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Täiesti ohutu;;alla 5 minuti;ei viiakse;Nii ja naa;Nii ja naa;Käingi iseseisvalt;5-10 minutit;ilma tingimuteta;väga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad;;;;;
24.11.2019 13:40;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;5-10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna isal jääb kool tee peale;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kui tulen hiljem koolist tuleb vanem järgi vahest kuid tavaliselt lähen koju ühistranspordiga;Täiesti ohutu;;11-20 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Pean väga oluliseks;Pean väga oluliseks;Oleks koolitee vähem turvaline, läheks kauem kooli, oleks suurem võimalus jääda haigeks;31-45 minutit;EI olegi;Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Lubatud sõidukiirust ületavad juhid;Kooli hoovi sõidavad autod;Kooli hoovi sõidavad autod;Olen tähelepanelik;Kooli võiks minna kõnnitee ja jalakäiate sissekäik peaks olema eraldi autode sissekäigust;Rohkem valgustust ja rõhkem kõnniteid
24.11.2019 14:39;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;1-5 km;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Pole teist valikut;Mitte kunagi;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;;11-20 minutit;Ei viida;Ei pea üldse oluliseks;Ei pea üldse oluliseks;Käingi iseseisvalt;11-20 minutit;Käingi iseseisvalt;väga hea;11-20 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Suurem oht langeda kuriteo ohvriks+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;;;;;
24.11.2019 16:53;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;1-5 km;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;mul on lühike tee;Harva;Mitte kunagi;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Täiesti ohutu;Avarii;alla 5 minuti;Halva ilma korral+Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Nii ja naa;Nii ja naa;Käingi iseseisvalt;11-20 minutit;Käingi iseseisvalt;Hea;31-45 minutit;Täiesti ohutu;Minu arvates ei kooliteel mingeid ohte;Ei tea;;;midagi;ohutu on juba piisavalt
24.11.2019 18:15;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;ei oska vastata;Harva;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;Sest muid viise pole;Mitte kunagi;Mitte kunagi;Alati;Pooltel kordadel nädalas;Harva;Mitte kunagi;Mitte kunagi;;Täiesti ohutu;;5-10 minutit;Siis kui esimene tund ära jääb;Nii ja naa;Nii ja naa;Ei muuda midagi;5-10 minutit;Kui kiiremini kooli jõuaks;Nii ja naa;5-10 minutit;Suhteliselt ohutu;Minu arvates ei kooliteel mingeid ohte;;;;;
24.11.2019 18:56;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Elan kooli lähedal. ;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Elan kooli lähedal. ;Täiesti ohutu;Ei tooda autoga kooli. ;alla 5 minuti;Ei viida autoga kooli. ;Pean väga oluliseks;Pean väga oluliseks;Käingi iseseisvalt;5-10 minutit;Käingi iseseisvalt;Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Lubatud sõidukiirust ületavad juhid;Ei tea;Ei tea;Ettevaatlik;Ei tea;Ei 
24.11.2019 22:01;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Üle 10 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Harva;Kiireim viis;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kiireim;Täiesti ohutu;Ummikud;5-10 minutit;Halva ilma korral+Sest kool jääb ema / isa töökoha tee peale (või enamvähem)+Siis kui ise palun+et mind viidaks autoga+Kui olen hiljaks jäämas+Kui olen on hommikul väga väsinud;Ei pea üldse oluliseks;Ei pea üldse oluliseks;Ei raiska vanemate aega.;31-45 minutit;Mul pole vahet;väga hea;46-60 minutit;Täiesti ohutu;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Ei peatu kõndjale ;Okey;väga hea;Ei;Rohkem valgusti(mõnes kohas on pime)
25.11.2019 09:51;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Pooltel kordadel nädalas;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest mu ema ei saa autoga viia;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kiireim;Täiesti ohutu;Ei oska;11-20 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem)+Kui nad lähvad tööle samal ajal kui mina kooli;Ei pea üldse oluliseks;Suhteliselt ebaoluline;Ei muuda midagi;11-20 minutit;Käingi iseseisvalt;väga hea;21-30 minutit;Suhteliselt ohutu;Minu arvates ei kooliteel mingeid ohte;ei ole;Hea+ettevaatlik;Hea;Ei;Ei
25.11.2019 12:58;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;Üle 10 km;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Muud võimalust pole;Harva;Mitte kunagi;Alati;Pooltel kordadel nädalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Pean;Täiesti ohutu;Ei oska;31-45 minutit;Mind viiakse autoga ühistranspordi peatuseni+sest sinna on pikk maa;Nii ja naa;Nii ja naa;Ei muuda midagi;31-45 minutit;Ei;Nii ja naa;46-60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Lubatud sõidukiirust ületavad juhid;Ei tea;Sõidavad sinna kuhu ei tohi sõita;Hea;Ei tea;Ei
25.11.2019 13:04;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;1-5 km;Mitte kunagi;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mulle meeldib rohkem liikuda ning värskes õhus viibida;Mitte kunagi;Mitte kunagi;Pooltel kordadel nädalas;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Täiesti ohutu;(Mina ei näegi ohte, kuna sõit võtab 3 minutit);alla 5 minuti;Kui olen hiljaks jäämas;Pean oluliseks;Suhteliselt ebaoluline;See rahustaks mind ning annab võimaluse olla vaikuses enne/pärast kooli;11-20 minutit;Kui ilm oleks soojem ning kuiv(ilma vihmata);Hea;46-60 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad;Talvel on väike liumägi kooliväravate vahel ning päris tihti õpilased kukuvad;;;;
25.11.2019 13:47;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Pooltel kordadel nädalas;Tihti;Mitte kunagi;Mitte kunagi;Mulle meeldivad jalgrattad aga talvel ei saa jalgrattaga sõita;Mitte kunagi;Mitte kunagi;Pooltel kordadel nädalas;Tihti;Tihti;Mitte kunagi;Mitte kunagi;Sellepärast et see on nii;Ohtlik;Avarii;5-10 minutit;Ei viidagi;Ei pea üldse oluliseks;Pean oluliseks;Käingi iseseisvalt;5-10 minutit;Käingi iseseisvalt;Nii ja naa;21-30 minutit;Suhteliselt ohutu;Kui ma jalgrattaga kellegile otsa sõidan;Autojuhid ei tee vahel vahet sõiduteel ja jalakäijateteel;Ma pole näinud aga pakkun et närviline;Normaline;Pole ruumi et midagi muuta;Polegi lahendust
25.11.2019 15:12;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ma elan liiga lähedal koolile, et oma aega ja raha raisata muu viisi peale.;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Nii ja naa;No tegu on tallinnaga.;alla 5 minuti;Ei viida ju?;Ei pea üldse oluliseks;Ei pea üldse oluliseks;Ei muuda midagi;5-10 minutit;Käingi iseseisvalt;väga hea;46-60 minutit;Nii ja naa;;;;;;
25.11.2019 15:26;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Üle 10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;turvalisem ja kiirem;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;tulen koos vanema vennaga;Ohutu;teised autod;11-20 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Pean väga oluliseks;Nii ja naa;varsti hakkangi;31-45 minutit;bussiajad;Nii ja naa;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud;;;;;
25.11.2019 17:15;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Bussiga sõites on kõige mugavam;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Bussiga sõites on kõige mugavam ning kiirem viis;Täiesti ohutu;;11-20 minutit;Halva ilma korral+Kui olen hiljaks jäämas;Pean väga oluliseks;Pean oluliseks;Käingi iseseisvalt;11-20 minutit;Käingi iseseisvalt;väga hea;31-45 minutit;Täiesti ohutu;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud;ei ole;Mitte midagi erilist;Ohutu;Ei;Mingeid muid lahendusi ei olegi
25.11.2019 17:16;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Tihti;Pooltel kordadel nädalas;Mitte kunagi;Mitte kunagi;Sest, mu kooli tee on lühike.;Mitte kunagi;Mitte kunagi;Mitte kunagi;Tihti;Pooltel kordadel nädalas;Mitte kunagi;Mitte kunagi;;Ohutu;Avarii;alla 5 minuti;Mind ei viida autoga kooli.;Pean oluliseks;Ei pea üldse oluliseks;Ma käingi jalksi/tõuksiga koolis;5-10 minutit;Käingi iseseisvalt;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Minu arvates ei kooliteel mingeid ohte;Ühte.;;Eeskujulik;;Valgusfoorid.
25.11.2019 17:31;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Kuni 1 km;Harva;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kiireim viis;Harva;Mitte kunagi;Pooltel kordadel nädalas;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kiireim;Täiesti ohutu;Avarii;alla 5 minuti;Sest kool jääb ema / isa töökoha tee peale (või enamvähem)+Kui pean arsti juurde minema.;Suhteliselt ebaoluline;Nii ja naa;Ei muuda midagi, Käingi iseseisvalt;11-20 minutit;Käingi iseseisvalt;Hea;46-60 minutit;Täiesti ohutu;Minu arvates ei kooliteel mingeid ohte;ei ole;;;Ei;Mitte mingisuguseid.
25.11.2019 17:34;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest soovin bussiga liigelda ning vanemate elu lihtsamaks teha;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;Kokku põrked.;11-20 minutit;Halva ilma korral+Siis kui ise palun+et mind viidaks autoga;Nii ja naa;Suhteliselt ebaoluline;Ei muuda midagi;11-20 minutit;Olen juba praegu nõus.;Hea;31-45 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Lubatud sõidukiirust ületavad juhid;;Osad vanemad on stressis ning mõtlematud;;Ei;Kool annab helkureid neile kes vajaksid
25.11.2019 17:45;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;1-5 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mugav;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Muidu ei saa koju;Täiesti ohutu;Teised autod;11-20 minutit;Kuna ma ei raatsi ise bussiga minna;Ei pea üldse oluliseks;Ei pea üldse oluliseks;Oleksin rohkem väsinud;21-30 minutit;Kui kool algaks hiljem;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Väikesed ohutussaared suure liiklusega teel+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud;Ohtlik ülekäigurada, ohtlik parkla;normaalne;Perfektne;Ei tea;Ei tea
25.11.2019 17:57;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest ma elan koolile nii lähedal ja muu oleks mõtetu.;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Täiesti ohutu;;alla 5 minuti;Mind ei viida autoga kooli;Ei pea üldse oluliseks;Nii ja naa;Käingi iseseisvalt;alla 5 minuti;Käingi iseseisvalt;väga hea;31-45 minutit;Täiesti ohutu;Minu arvates ei kooliteel mingeid ohte;;Korralik;Korralik;Ei;
25.11.2019 18:04;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Üle 10 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Harva;Mitte kunagi;Vanem liigub samal ajal linna tööle, liiga pikk maa kõndimiseks või rattaga sõitmiseks, ühistranspordiga minekuks tuleb liiga vara ärgata.;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Harva;Mitte kunagi;Pikk maa jalgsi ja rattaga minekuks, ühistransport liigub tihedamini. ;Ohutu;Avariid, sõidukite tõrked;21-30 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Nii ja naa;Pean oluliseks;Peaksin mitu tundi varem ärkama, et ühistranspordile jõuda. ;46-60 minutit;Sõidan ise autoga;väga hea;31-45 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Lubatud sõidukiirust ületavad juhid;;;;;
25.11.2019 18:12;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;1-5 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mugav;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Lihtsaim;Täiesti ohutu;;5-10 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem)+Kui olen hiljaks jäämas;Nii ja naa;Nii ja naa;Rohkem aega läheks;46-60 minutit;Ei tea;väga hea;11-20 minutit;Täiesti ohutu;Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Kiiruse ületamist;Hea;Hea;Ei;Ei tea
25.11.2019 18:51;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Pooltel kordadel nädalas;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna mulle meeldib hommikul värske õhu käes olla ja kui ma bussile kõnnin, siis ma saan värske õhu käes olla;Pooltel kordadel nädalas;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;;11-20 minutit;Siis kui ise palun+et mind viidaks autoga;Nii ja naa;Nii ja naa;Ei muuda midagi;21-30 minutit;Ma ei käi põhimõtteliselt kunagi autoga koolis vaid väga harva;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama;;;;;
25.11.2019 19:05;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Vanemad käsivad;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Täiesti ohutu;Avarii;5-10 minutit;Halva ilma korral+Siis kui ise palun+et mind viidaks autoga+Kui olen hiljaks jäämas;Suhteliselt ebaoluline;Ei pea üldse oluliseks;Ei muuda midagi;11-20 minutit;Ei ole midagi vaja;Nii ja naa;alla 5 minuti;Ohtlik;Minu arvates ei kooliteel mingeid ohte;;normaalne;Ei oska vastata;Ei ;Ei oska vastata
25.11.2019 19:08;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;Üle 10 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest elan koolist kaugel ja ühistrandspordiga kooli minnes jään kooli hiljaks.;Pooltel kordadel nädalas;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest jõuan varem koju kui autoga minnes;Täiesti ohutu;;31-45 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Nii ja naa;Pean väga oluliseks;Kooli minekuks kuluva aja pikkust;31-45 minutit;Kui mu ühistrandspordi ajad oleks sobilikumad või oleks oma auto;Hea;11-20 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed;;;;;
